"","specie","family","id","fileName"
"1","Pan troglodytes","Hominidae",1,"01_Pan_troglodytes"
"2","Capra aegagrus","Bovidae",4,"02_Capra_aegagrus"
"3","Homo sapiens","Hominidae",1,"03_Homo_sapiens"
"4","Bos taurus","Bovidae",4,"04_Bos_taurus"
"5","Ara ararauna","Psittacidae",2,"05_Ara_ararauna"
"6","Mus musculus","Muridae",3,"06_Mus_musculus"
"7","Brotogeris cyanoptera","Psittacidae",2,"07_Brotogeris_cyanoptera"
"8","Homo sapiens neanderthalensis","Hominidae",1,"08_Homo_sapiens_neanderthalensis"
"9","Gazella gazella","Bovidae",4,"09_Gazella_gazella"
"10","Rattus norvegicus","Muridae",3,"10_Rattus_norvegicus"
"11","Pan paniscus","Hominidae",1,"11_Pan_paniscus"
"12","Psittacara rubritorquis","Psittacidae",2,"12_Psittacara_rubritorquis"
"13","Apodemus sylvaticus","Muridae",3,"13_Apodemus_sylvaticus"
"14","Rhazya stricta","Apocynaceae",5,"14_Rhazya_stricta"
